taxon_key,taxon_name,common_name,genus,species
600692,Lichia amia,Leerfish,Lichia,amia
600695,Limanda limanda,Common dab,Limanda,limanda
600700,Scymnodon ringens,Knifetooth dogfish,Scymnodon,ringens
600706,Lithognathus mormyrus,Sand steenbras,Lithognathus,mormyrus
600716,Lophius piscatorius,Angler,Lophius,piscatorius
600718,Oxynotus centrina,Angular roughshark,Oxynotus,centrina
600719,Oxynotus paradoxus,Sailfin roughshark,Oxynotus,paradoxus
600736,Squatina squatina,Angelshark,Squatina,squatina
600752,Isurus oxyrinchus,Shortfin mako,Isurus,oxyrinchus
600754,Maurolicus muelleri,Silvery lightfish,Maurolicus,muelleri
600785,Mugil cephalus,Flathead grey mullet,Mugil,cephalus
600790,Mullus barbatus barbatus,Red mullet,Mullus,barbatus barbatus
600807,Galeus melastomus,Blackmouth catshark,Galeus,melastomus
600845,Scyliorhinus canicula,Smallspotted catshark,Scyliorhinus,canicula
600850,Oblada melanura,Saddled seabream,Oblada,melanura
600854,Scyliorhinus stellaris,Nursehound,Scyliorhinus,stellaris
600864,Carcharhinus brachyurus,Copper shark,Carcharhinus,brachyurus
600875,Carcharhinus longimanus,Oceanic whitetip shark,Carcharhinus,longimanus
600886,Galeocerdo cuvier,Tiger shark,Galeocerdo,cuvier
600889,Pagellus acarne,Axillary seabream,Pagellus,acarne
600890,Pagellus bogaraveo,Blackspot seabream,Pagellus,bogaraveo
600893,Pagellus erythrinus,Common pandora,Pagellus,erythrinus
600898,Prionace glauca,Blue shark,Prionace,glauca
600917,Sphyrna zygaena,Smooth hammerhead,Sphyrna,zygaena
601002,Pseudocaranx dentex,White trevally,Pseudocaranx,dentex
601005,Seriola dumerili,Greater amberjack,Seriola,dumerili
601023,Trisopterus esmarkii,Norway pout,Trisopterus,esmarkii
601042,Lepidocybium flavobrunneum,Escolar,Lepidocybium,flavobrunneum
601043,Sardinella aurita,Round sardinella,Sardinella,aurita
601044,Ruvettus pretiosus,Oilfish,Ruvettus,pretiosus
601072,Lampris guttatus,Opah,Lampris,guttatus
601084,Scomberesox saurus saurus,Atlantic saury,Scomberesox,saurus saurus
601164,Sparus aurata,Gilthead seabream,Sparus,aurata
601198,Stromateus fiatola,Blue butterfish,Stromateus,fiatola
601278,Trachurus mediterraneus,Mediterranean horse mackerel,Trachurus,mediterraneus
601279,Trachurus picturatus,Blue jack mackerel,Trachurus,picturatus
601288,Trichiurus lepturus,Largehead hairtail,Trichiurus,lepturus
601306,Umbrina cirrosa,Shi drum,Umbrina,cirrosa
601319,Beryx decadactylus,Alfonsino,Beryx,decadactylus
601320,Beryx splendens,Splendid alfonsino,Beryx,splendens
601327,Mullus surmuletus,Surmullet,Mullus,surmuletus
601334,Osmerus eperlanus,European smelt,Osmerus,eperlanus
601340,Phycis blennoides,Greater forkbeard,Phycis,blennoides
601341,Platichthys flesus,European flounder,Platichthys,flesus
601342,Pleuronectes platessa,European plaice,Pleuronectes,platessa
601343,Pollachius virens,Saithe,Pollachius,virens
601348,Scophthalmus maximus,Turbot,Scophthalmus,maximus
601350,Sardina pilchardus,European pilchard,Sardina,pilchardus
601352,Sebastes viviparus,Norway redfish,Sebastes,viviparus
601353,Serranus cabrilla,Comber,Serranus,cabrilla
601356,Spondyliosoma cantharus,Black seabream,Spondyliosoma,cantharus
601357,Sprattus sprattus,European sprat,Sprattus,sprattus
