taxonkey
600006
600020
600024
600026
600027
600028
600029
600030
600031
600032
600034
600045
600047
600051
600054
600056
600058
600059
600061
600062
600063
600066
600068
600069
600071
600076
600077
600078
600088
600090
600094
600097
600101
600107
600108
600115
600117
600118
600138
600142
600143
600146
600147
600203
600216
600219
600226
600230
600231
600232
600233
600236
600238
600240
600247
600249
600252
600253
600301
600309
600314
600319
600331
600332
600333
600334
600349
600357
600391
600479
600481
600501
600503
600505
600509
600516
600517
600519
600520
600525
600526
600529
600572
600637
600641
600645
600646
600648
600650
600653
600656
600662
600663
600669
600670
600687
600695
600700
600704
600718
600719
600736
600751
600752
600754
600790
600807
600845
600854
600874
600880
600886
600889
600890
600893
600898
600917
601005
601023
601042
601044
601072
601077
601084
601164
601279
601288
601290
601319
601320
601327
601334
601336
601340
601341
601342
601343
601348
601350
601353
601356
601357
601363
601365
601366
601367
601370
601371
601381
601382
601383
601692
601696
601707
601732
601734
601735
601736
601752
601758
601759
601874
602005
602012
602058
602059
602060
602065
602066
602420
602497
602499
602501
602503
602508
602513
602530
602534
602535
602589
602700
603267
603542
603810
603811
603971
603979
604140
604239
604247
604252
604326
604329
604330
604538
604548
604552
604556
604642
604712
604791
604943
604964
604996
604997
605007
605008
605038
605071
605081
605094
605098
605355
605492
605938
606422
607614
607616
607618
607619
608540
608991
609000
609005
609256
648134
690003
690029
690033
690053
690058
690059
690085
690087
690088
690089
690090
690091
690092
690119
690122
690123
690124
690125
690126
690156
690158
690166
690185
690241
690269
690270
690271
690273
690274
690275
690283
690309
690320
690337
690343
690387
690398
690399
690400
690404
690420
690423
690425
690595
690621
690631
690671
690675
690678
690680
690690
690693
